id,total_validators,p_active_slots,p_created_blocks,non_empty_block,empty_block,vanilla_blocks,a_active_epochs,a_attested_epochs,a_attested_source,a_attested_target,a_attested_head,inc_distance,sync_rate,block_reward,validation_reward,total_reward,proposal_effectiveness,correctness,attestation_rate,att_effectiveness,effectiveness,partition_date
Sigma Prime,10001,83,83,82,0,51,2250225,2249558,2248718,2247582.0,2205616,1.021263414900789,97.95751701002006,6.568269839127218,26.959452928999383,33.52772276812216,0.9879518072289156,0.9927771667277717,0.9997035851970358,0.9718187084729004,0.9778686205064062,2024-01-17
Simply Staking,9428,88,88,88,0,0,2121300,2117898,2117410,2116363.0,2053891,1.0381314019482941,98.0221289278351,11.981732878414185,25.534410144999207,37.516143023409164,1.0,0.9880205534342149,0.9983962664403904,0.9502034423232094,0.9688771514520059,2024-01-17
Chorus One,8853,77,77,77,0,0,1991925,1988552,1987913,1989912.0,1948098,1.0399404964221035,97.77845866240685,7.538778534559172,23.69419156499906,31.232970099554322,1.0,0.9916576510996482,0.9983066631524782,0.9519568129762397,0.9699730081101499,2024-01-17
CryptoManufaktur,10001,80,80,80,0,0,2250225,2249817,2249157,2248315.0,2219576,1.0193781741453698,99.33941870878272,12.021849529752952,27.143702124999365,39.165551654747006,1.0,0.9950187203501872,0.9998186847981868,0.975926632100158,0.9849541450625987,2024-01-17
Attestant (BVI) Limited,10001,69,69,69,0,8,2250225,2250199,2249164,2247984.0,2221803,1.0185230448168714,98.92525336572892,6.736893606331924,26.254546504999464,32.99144011132693,1.0,0.9953006180863395,0.9999884455998844,0.9771886095750676,0.9857428809844172,2024-01-17
SenseiNode,7000,62,56,56,0,7,1575000,1570659,1571955,1571276.0,1530526,1.0308928192493063,97.89537053615521,6.194156163053697,18.359846201999606,24.554002365050138,0.9032258064516129,0.9891549206349206,0.9972438095238095,0.956868262969864,0.9367523417755199,2024-01-17
Launchnodes,2562,19,19,19,0,0,576450,574498,573933,574659.0,543305,1.075641959886183,98.51162626881728,1.8932119245020285,6.69167698200021,8.584888906501975,1.0,0.9783427299274294,0.9966137566137566,0.9064631724034866,0.9415394827521791,2024-01-17
network,898331,7200,7143,7122,0,659,201946580,201137494,201276533,201207523.0,197509963,1.0266992475713155,97.3716896813423,786.1789489753535,2379.81372938892,3165.9926783253554,0.9891666666666666,0.9903510439906105,0.995993564238622,0.9607324330712859,0.9713952706695537,2024-01-17
Gateway.fm AS,500,4,4,4,0,0,112500,112300,112279,112161.0,108737,1.0401728168976527,,0.7046315049476347,1.284634185999995,1.9892656909476745,1.0,0.9871911111111111,0.9982222222222222,0.9473772902761017,0.9671108064225635,2024-01-17
Stakin,9993,79,79,79,0,35,2248425,2247390,2246216,2245131.0,2200219,1.0261529593646648,98.75960001742924,7.82288762065143,26.06826914199913,33.89115676264611,1.0,0.9920375373872822,0.9995396777744421,0.9663090394186119,0.9789431496366324,2024-01-17
Kukis Global,10001,68,67,67,0,1,2250225,2250198,2249233,2249039.0,2221996,1.0180444177804449,99.40500578158729,10.730442391796924,26.47680669299939,37.20724908479185,0.9852941176470589,0.9954957096882904,0.99998800119988,0.9778392254285109,0.9806348100104664,2024-01-17
RockLogic GmbH,8558,59,59,59,0,0,1925550,1919663,1920548,1921191.0,1854311,1.048114849775509,98.14577086922323,6.241069016408686,22.146917373999486,28.387986390404368,1.0,0.9860472765357085,0.9969426916984757,0.937905446356391,0.9611909039727443,2024-01-17
HashQuark,10001,84,83,83,0,2,2250225,2249984,2248808,2247861.0,2215373,1.0199132171429028,99.23116789589041,9.060195558241777,26.780931043999153,35.84112660223649,0.9880952380952381,0.994277164876105,0.999892899598929,0.9747600684869594,0.9797607570900639,2024-01-17
ParaFi Technologies LLC,5743,47,47,47,0,0,1292175,1292165,1291571,1291188.0,1276374,1.0184781473097682,99.61304381609197,5.029209742266031,15.457070846999866,20.48628058926329,1.0,0.9955135075873366,0.9999922611101437,0.9774444410491311,0.9859027756557069,2024-01-17
RockX,8916,62,62,62,0,1,2006100,2006025,2005189,2004895.0,1981513,1.0177708167796389,99.55665207701566,5.103195232611969,23.283569676999278,28.386764909607287,1.0,0.9955630327501122,0.999962614027217,0.9781434054158096,0.986339628384881,2024-01-17
ChainSafe,10000,85,85,85,0,44,2250000,2246483,2248166,2246933.0,2207487,1.0230215290142552,98.2076699755071,9.564739785669829,27.71311226499928,37.27785205066467,1.0,0.9929757037037037,0.9984368888888889,0.9691131068409472,0.980695691775592,2024-01-17
